#,Symbol,Trades,Profit Trades %,Total Profit $,Profit Factor,Max Drawdown %
924,EWMC,85,79,34282,1.41,0.00
925,FENY,85,66,-27075,0.81,1.00
926,FJP,85,73,23217,1.29,0.00
927,FSZ,85,74,51432,1.83,0.00
928,HYD,85,58,-37412,0.44,0.00
929,IEMG,85,72,21111,1.30,0.00
930,INOC,85,79,324885,2.30,1.00
931,LEMB,85,54,-35872,0.48,0.00
932,MDST,85,65,1562773,4.37,1.00
933,PAF,85,74,97755,2.41,0.00
934,PFXF,85,66,-169,1.00,0.00
935,PSCC,85,65,20192,1.31,0.00
936,PXSV,85,72,6011,1.06,0.00
937,PZD,85,69,38608,1.41,0.00
938,SPFF,85,64,-6762,0.86,0.00
939,STIP,85,71,-1016,0.89,0.00
940,UBM,85,73,201924,2.78,0.00
941,VCIT,85,66,-5776,0.81,0.00
942,VIIX,85,54,-21731,0.93,1.00
943,VLUE,85,78,23472,1.32,0.00
944,VOO,85,81,69450,2.88,0.00
945,ASEA,84,58,-28252,0.75,0.00
946,CPI,84,79,14150,2.50,0.00
947,DJCI,84,58,-14819,0.82,0.00
948,DTO,84,63,24978,1.09,1.00
949,ENFR,84,69,16682,1.17,1.00
950,FIG,84,63,50427,1.30,1.00
951,FYC,84,75,66667,1.77,0.00
952,IBCA,84,74,179515,2.08,1.00
953,IBND,84,62,-33283,0.52,0.00
954,IQDF,84,67,15432,1.24,0.00
955,MGT,84,68,422120,2.01,1.00
956,MIDZ,84,50,-102343,0.66,1.00
957,MORT,84,60,7865,1.06,1.00
958,MUNI,84,56,-21797,0.32,0.00
959,SDOG,84,73,24452,1.37,0.00
960,STPP,84,65,47384,1.79,0.00
961,XSW,84,77,76869,1.97,0.00
962,DVYA,83,69,-14178,0.84,1.00
963,DXB,83,70,16947,1.20,0.00
964,FDTS,83,67,-20022,0.82,1.00
965,GVI,83,69,5049,1.41,0.00
966,INKM,83,63,-10802,0.76,0.00
967,JJA,83,64,5587,1.06,0.00
968,JJE,83,60,-68810,0.66,1.00
969,KOLD,83,65,124804,1.35,1.00
970,MLPX,83,69,14676,1.13,1.00
971,PICB,83,70,-23290,0.62,0.00
972,SPGM,83,77,71191,2.87,0.00
973,SPIB,83,64,-5166,0.78,0.00
974,TILT,83,83,80761,3.22,0.00
975,URTH,83,75,60590,2.61,0.00
976,VONE,83,78,70285,2.76,0.00
977,XAR,83,75,83220,2.59,0.00
978,AOK,82,68,14360,1.82,0.00
979,AUSE,82,76,116865,2.54,0.00
980,BTC,82,87,392554,8.08,0.00
981,CMBS,82,82,26435,3.82,0.00
982,EMLP,82,74,32247,1.57,0.00
983,FNDE,82,68,329,1.00,0.00
984,HYS,82,63,2776,1.11,0.00
985,INCO,82,66,-6689,0.94,0.00
986,JJS,82,66,24404,1.20,0.00
987,LVL,82,62,14377,1.16,0.00
988,SKYY,82,73,71688,1.81,0.00
989,SPSM,82,76,35642,1.43,0.00
990,VGSH,82,78,1484,1.44,0.00
991,VOOG,82,77,70260,2.59,0.00
992,BKLN,81,57,-14741,0.57,0.00
993,BNO,81,63,-111152,0.56,2.00
994,CXSE,81,59,13793,1.15,0.00
995,DAG,81,69,26512,1.15,0.00
996,DTUS,81,67,27298,1.37,0.00
997,EMHY,81,69,-10007,0.78,0.00
998,FYLD,81,73,15944,1.20,1.00
999,HDV,81,79,40108,2.35,0.00
1000,IEFA,81,68,8894,1.13,0.00
