#,Symbol,Trades,Profit Trades %,Total Profit $,Profit Factor,Max Drawdown %
460,FGD,112,65,15258,1.11,0.00
461,FIW,112,72,99255,1.85,0.00
462,IDV,112,69,399,1.00,0.00
463,JNK,112,63,-5453,0.90,0.00
464,PPA,112,77,81696,1.87,0.00
465,PSL,112,78,72051,2.25,0.00
466,RWX,112,60,-24075,0.82,0.00
467,SPHQ,112,79,86880,2.27,0.00
468,TBF,112,67,17931,1.23,0.00
469,TENG,112,79,1299704,8.47,1.00
470,TFI,112,52,-27462,0.48,0.00
471,TMV,112,66,42524,1.18,1.00
472,TZA,112,63,-23832,0.94,1.00
473,USO,112,58,-165270,0.55,3.00
474,VEU,112,68,72390,1.81,0.00
475,WEAT,112,70,13050,1.08,0.00
476,YANG,112,61,18568,1.04,1.00
477,ZSL,112,59,-202860,0.60,2.00
478,ADRD,111,78,134345,3.35,0.00
479,AMLP,111,67,-31438,0.79,1.00
480,DBO,111,64,-41090,0.83,1.00
481,DGP,111,62,59619,1.33,1.00
482,EQWL,111,76,74635,2.18,0.00
483,GK,111,75,114476,1.80,0.00
484,GSG,111,61,-93647,0.62,1.00
485,HDGE,111,53,-47427,0.69,1.00
486,IM,111,64,-9828,0.96,1.00
487,JKK,111,75,84648,1.71,0.00
488,PIZ,111,71,25044,1.20,0.00
489,RWJ,111,68,10194,1.06,1.00
490,UNL,111,55,-67937,0.69,1.00
491,VNM,111,63,-37317,0.82,1.00
492,AAXJ,110,70,87114,1.92,0.00
493,AIVL,110,71,39041,1.42,0.00
494,CHIC,110,65,24691,1.16,0.00
495,DBS,110,60,-18174,0.89,0.00
496,DEM,110,72,61088,1.63,0.00
497,DWAQ,110,74,78937,1.90,0.00
498,EDV,110,74,64288,1.88,0.00
499,EMM,110,73,4101409,22.01,1.00
500,IEI,110,68,7886,1.49,0.00
501,IRET,110,71,103065,1.99,0.00
502,PHB,110,64,25424,1.68,0.00
503,SPDW,110,70,71390,1.80,0.00
504,SPTL,110,74,54234,2.46,0.00
505,SSO,110,75,151809,1.96,0.00
506,THRK,110,72,68432,2.05,0.00
507,UWM,110,74,92426,1.34,1.00
508,VEA,110,67,40749,1.39,0.00
509,VOT,110,74,79337,1.80,0.00
510,WPS,110,55,5208,1.04,0.00
511,CHIX,109,66,31317,1.27,0.00
512,CIMT,109,71,460443,3.11,0.00
513,EDC,109,71,86647,1.27,1.00
514,EET,109,72,75015,1.35,1.00
515,EPS,109,74,76917,2.11,0.00
516,HCN,109,78,137048,2.47,0.00
517,IHI,109,74,49947,1.52,0.00
518,MGV,109,72,60666,1.84,0.00
519,MIG,109,70,114134,1.52,1.00
520,MUB,109,57,-22500,0.49,0.00
521,PSJ,109,78,118190,2.46,0.00
522,PULS,109,65,4412,1.01,2.00
523,PZA,109,52,-52277,0.31,1.00
524,REZ,109,69,91920,2.00,0.00
525,RJA,109,60,-13831,0.87,0.00
526,SMDD,109,55,-83485,0.74,1.00
527,UPW,109,71,74955,1.43,1.00
528,AFK,108,62,-38567,0.78,1.00
529,CHIE,108,77,128728,2.22,0.00
530,DLN,108,75,66262,2.35,0.00
531,DTRE,108,67,46684,1.41,0.00
532,ESCR,108,62,-123671,0.75,2.00
533,FDD,108,65,10341,1.07,1.00
534,IEUS,108,66,-12288,0.93,0.00
535,IFGL,108,56,-25424,0.81,0.00
536,PFM,108,77,64149,2.15,0.00
537,ROM,108,69,197925,2.09,0.00
538,RWK,108,75,23864,1.16,1.00
539,USRT,108,69,94725,2.07,0.00
540,WOOD,108,68,13566,1.10,0.00
541,BRF,107,65,-1469,0.99,1.00
542,ECNS,107,64,21391,1.16,0.00
543,EXI,107,66,42192,1.39,0.00
544,SFY,107,55,-265107,0.51,3.00
545,SHY,107,69,1809,1.32,0.00
546,SIL,107,73,103756,1.68,0.00
547,SJB,107,47,-12512,0.74,0.00
548,SLY,107,77,76389,1.69,0.00
549,URE,107,66,48319,1.19,1.00
550,ACWI,106,73,85440,2.32,0.00
551,AGQ,106,60,-1220,1.00,1.00
552,AOA,106,78,66230,2.48,0.00
553,BLV,106,69,24404,1.52,0.00
554,CACB,106,73,364483,2.59,1.00
555,DBB,106,61,-34681,0.79,1.00
556,DSI,106,78,96735,2.39,0.00
557,EPU,106,61,-50440,0.73,1.00
558,FXL,106,73,63694,1.60,0.00
559,IDHQ,106,69,20456,1.18,0.00
560,KTEC,106,71,212080,2.20,0.00
561,LD,106,72,348036,2.93,0.00
562,PDP,106,77,88468,1.97,0.00
563,PPLT,106,58,-4607,0.96,1.00
564,PUI,106,71,40937,1.54,0.00
565,PXF,106,65,24504,1.19,0.00
566,RWL,106,75,69505,1.97,0.00
567,SCHO,106,77,943,1.17,0.00
568,DBE,105,65,-48946,0.78,1.00
569,DBEM,105,73,72032,2.10,0.00
570,DFJ,105,69,35888,1.40,0.00
571,DWM,105,68,52573,1.54,0.00
572,ETF,105,71,90108,1.64,1.00
573,EUO,105,70,12953,1.14,0.00
574,FAD,105,77,53755,1.54,0.00
575,FCA,105,68,53587,1.35,0.00
576,FTC,105,74,58013,1.63,0.00
577,FTCS,105,74,44654,1.60,0.00
578,GLIN,105,58,-76178,0.70,1.00
579,IGF,105,72,62167,1.92,0.00
580,LIT,105,60,-35206,0.82,1.00
581,MBB,105,74,15499,1.99,0.00
582,PALL,105,68,61263,1.37,0.00
